sku_id,cat,rank_v1,recommend_index,rank_v2,recommend_score,rank_change
NEC手机,手机,279,65.95,1870,69.22,-1591
汕头某酒店,酒店,280,65.95,1831,71.42,-1551
泰逸酒店,酒店,281,65.95,2289,35.63,-2008
如家酒店北京,酒店,282,65.95,122,87.68,160
太平洋酒店,酒店,283,65.95,241,87.21,42
ThinkPad X200,计算机,284,65.95,1964,62.53,-1680
ThinkPad电脑,计算机,285,65.95,1783,73.29,-1498
日照某酒店,酒店,286,65.95,1762,74.06,-1476
安徽某酒店,酒店,287,65.95,2363,26.62,-2076
海悦酒店,酒店,288,65.95,2236,41.9,-1948
西门子CX65,手机,289,65.95,1929,65.2,-1640
联想电脑,计算机,290,65.55,1895,67.65,-1605
MacBook Pro,计算机,291,65.53,1857,70.0,-1566
宏碁电脑,计算机,292,65.13,1909,66.65,-1617
九江某酒店,酒店,293,64.71,1917,66.16,-1624
苹果平板,平板,294,64.44,2074,53.45,-1780
海飞丝去屑洗发水,洗发水,295,63.86,1907,66.77,-1612
荣耀平板,平板,296,63.58,2008,58.32,-1712
东芝电脑,计算机,297,63.58,1932,65.09,-1635
蒙牛酸奶,蒙牛,298,63.2,1992,60.51,-1694
不一样的卡梅拉,书籍,299,62.89,1340,83.99,-1041
联想手机,手机,300,62.81,2019,57.85,-1719
MacBook,计算机,301,62.81,2003,59.03,-1702
SONY电脑,计算机,302,62.81,1899,67.35,-1597
MOTO手机,手机,303,62.81,2315,30.59,-2012
摩托罗拉手机,手机,304,62.81,1846,70.44,-1542
华为荣耀X2,平板,305,62.81,1859,69.69,-1554
台北某酒店,酒店,306,62.81,2431,23.67,-2125
莫干山某酒店,酒店,307,62.81,2292,35.36,-1985
联想ThinkPad T400,计算机,308,62.81,1948,63.59,-1640
太仓某酒店,酒店,309,62.81,2228,42.95,-1919
昆山某酒店,酒店,310,62.81,1749,74.72,-1439
蒙牛乳品,蒙牛,311,62.79,2007,58.38,-1696
蒙牛特仑苏,蒙牛,312,62.13,2063,54.63,-1751
华硕电脑,计算机,313,62.06,1986,61.16,-1673
合肥某酒店,酒店,314,61.61,2083,52.04,-1769
活着,书籍,315,61.61,1832,71.41,-1517
蒙牛优益c,蒙牛,316,61.61,2031,56.6,-1715
美的燃气热水器,热水器,317,61.26,1393,83.27,-1076
惠普电脑,计算机,318,61.17,1984,61.4,-1666
广州某酒店,酒店,319,60.49,1996,59.67,-1677
乐视平板,平板,320,60.29,2102,50.58,-1782
海飞丝洗发水,洗发水,321,59.48,2050,55.53,-1729
花花公子裤子,衣服,322,59.25,2073,53.51,-1751
班尼路衣服,衣服,323,59.02,2085,51.7,-1762
某酒店,酒店,324,58.58,2012,58.18,-1688
HP电脑,计算机,325,58.36,1995,59.75,-1670
上海某酒店,酒店,326,58.21,1893,67.75,-1567
陕西苹果,水果,327,57.83,2177,46.78,-1850
假日酒店,酒店,328,57.83,2240,41.54,-1912
张家界某酒店,酒店,329,57.83,1849,70.32,-1520
睡衣,衣服,330,57.51,2094,51.2,-1764
联想平板,平板,331,57.51,2043,55.98,-1712
北海某酒店,酒店,332,57.51,2045,55.85,-1713
兰州某酒店,酒店,333,57.51,1850,70.19,-1517
西门子手机,手机,334,57.51,2032,56.59,-1698
天水富士苹果,水果,335,57.07,2097,50.94,-1762
波导手机,手机,336,57.07,1872,69.09,-1536
东信手机,手机,337,57.07,2380,26.07,-2043
携程某酒店,酒店,338,57.07,2192,45.84,-1854
庐山宾馆,酒店,339,57.07,2230,42.68,-1891
蓬莱某酒店,酒店,340,57.07,2084,51.86,-1744
丹东某酒店,酒店,341,57.07,2323,29.21,-1982
联想Y430,计算机,342,57.07,2263,38.5,-1921
清扬,洗发水,343,57.07,1942,64.09,-1599
哈密瓜,水果,344,57.07,2454,22.16,-2110
加绒裤,衣服,345,57.07,2108,50.12,-1763
联想ThinkPad X61,计算机,346,57.07,2013,58.15,-1667
MSI电脑,计算机,347,57.07,1856,70.02,-1509
苹果M2平板,平板,348,57.07,2087,51.53,-1739
三门峡某酒店,酒店,349,57.07,1781,73.32,-1432
绵阳某酒店,酒店,350,57.07,1847,70.43,-1497
烟台苹果,水果,351,56.74,2252,38.92,-1901
索爱手机,手机,352,55.7,2127,49.51,-1775
微星电脑,计算机,353,54.91,2058,55.03,-1705
红富士苹果,水果,354,54.91,2264,38.49,-1910
宁波某酒店,酒店,355,54.91,2167,47.49,-1812
DELL电脑,计算机,356,53.75,2117,49.59,-1761
泰安某酒店,酒店,357,53.75,2099,50.75,-1742
飞利浦手机,手机,358,53.75,2195,45.63,-1837
三星手机,手机,359,53.42,2168,47.44,-1809
花花公子T恤,衣服,360,53.07,2159,48.18,-1799
蒙牛早餐奶,蒙牛,361,52.59,2183,46.42,-1822
拉萨某酒店,酒店,362,52.59,2161,48.03,-1799
诺基亚手机,手机,363,52.06,2178,46.74,-1815
昆明某酒店,酒店,364,52.06,1941,64.12,-1577
开封某酒店,酒店,365,51.81,1867,69.3,-1502
NOKIA手机,手机,366,51.81,2188,46.14,-1822
联想ThinkPad SL400,计算机,367,51.81,2305,33.11,-1938
华为X2,平板,368,51.81,2227,43.0,-1859
锦江之星酒店,酒店,369,51.81,2208,44.66,-1839
桂林某酒店,酒店,370,51.81,1982,61.62,-1612
acer电脑,计算机,371,51.81,2039,56.21,-1668
江阴某酒店,酒店,372,51.81,2021,57.73,-1649
杜拉拉升职记,书籍,373,49.14,2172,47.12,-1799
小米平板,平板,374,48.85,2224,43.2,-1850
Dell电脑,计算机,375,48.8,2088,51.48,-1713
轱辘轱辘转,书籍,376,48.34,1638,78.52,-1262
张爱玲的作品,书籍,377,48.34,2165,47.67,-1788
锦江酒店,酒店,378,48.34,2090,51.44,-1712
明朝那些事,书籍,379,48.34,2024,57.53,-1645
汉庭某酒店,酒店,380,47.62,2026,57.33,-1646
屈臣氏洗发水,洗发水,381,47.62,2303,33.37,-1922
天目湖某酒店,酒店,382,47.62,1780,73.33,-1398
齐齐哈尔某酒店,酒店,383,47.62,1934,64.77,-1551
高木直子的作品,书籍,384,47.62,2270,37.7,-1886
泰山某酒店,酒店,385,47.62,2185,46.21,-1800
裙子,衣服,386,47.62,2747,12.8,-2361
直筒裤,衣服,387,47.62,2724,12.97,-2337
南方高科手机,手机,388,47.62,2383,25.92,-1995
烟台红富士苹果,水果,389,47.62,2281,36.98,-1892
邯郸某酒店,酒店,390,47.62,2474,18.37,-2084
当年明月的作品,书籍,391,47.62,1978,62.01,-1587
