sku_id,absa_comment_count,aspect_sentiment_mean,aspect_positive_ratio,aspect_negative_ratio,aspect_neutral_ratio,absa_confidence_mean
8484451,78,0.8380962579678266,0.8205128205128205,0.05128205128205128,0.1282051282051282,0.8891460032035143
11107032701,44,0.7896367223425345,0.7727272727272727,0.06818181818181818,0.1590909090909091,0.8658760806376283
11339519481,39,0.8536509153170463,0.8717948717948718,0.10256410256410256,0.02564102564102564,0.9539447044714903
12764636413,38,0.8409208576930197,0.8157894736842105,0.13157894736842105,0.05263157894736842,0.9090417709789778
13521715420,43,0.6266530114550923,0.6046511627906976,0.2558139534883721,0.13953488372093023,0.8986256011696749
15612619462,54,0.838127288001555,0.8518518518518519,0.12962962962962962,0.018518518518518517,0.9031195850284012
16290978197,24,0.8990014716982841,0.9166666666666666,0.041666666666666664,0.041666666666666664,0.9373323147495588
19078286246,48,0.736088023831447,0.6875,0.1875,0.125,0.9063679985702038
20349124505,50,0.9246390211582184,0.92,0.04,0.04,0.9489632415771484
20898196348,30,0.889634108543396,0.8666666666666667,0.06666666666666667,0.06666666666666667,0.9524024844169616
21135280362,22,0.8237375048073855,0.8181818181818182,0.045454545454545456,0.13636363636363635,0.8922617489641363
21845662740,23,0.7927609707998193,0.8260869565217391,0.13043478260869565,0.043478260869565216,0.9235116787578749
22863264117,43,0.8677869938140692,0.813953488372093,0.13953488372093023,0.046511627906976744,0.9330104977585548
25158905369,28,0.7978858138833728,0.75,0.17857142857142858,0.07142857142857142,0.90884410909244
25531193076,32,0.9203722747042775,0.9375,0.0625,0.0,0.9486807575449347
25774787882,40,0.8711323253810406,0.825,0.075,0.1,0.9119598634541035
25834204287,49,0.9543352224388901,0.9387755102040817,0.02040816326530612,0.04081632653061224,0.9785891041463736
26128018111,23,0.9207362739936166,0.9130434782608695,0.0,0.08695652173913043,0.951197282127712
26263258528,42,0.8687156396252769,0.8809523809523809,0.07142857142857142,0.047619047619047616,0.9310372273127238
26266694915,22,0.880470181053335,0.9090909090909091,0.09090909090909091,0.0,0.9585121192715385
26697273746,29,0.8945720627390105,0.9310344827586207,0.06896551724137931,0.0,0.9596319876868149
27357030125,24,0.8360654227435589,0.8333333333333334,0.125,0.041666666666666664,0.928518378486236
27930378393,3,0.1968503395716349,0.0,0.6666666666666666,0.3333333333333333,0.821292002995809
28082716822,28,0.8580239138432911,0.8214285714285714,0.07142857142857142,0.10714285714285714,0.9361653391804013
28328600610,5,0.760689377784729,0.8,0.0,0.2,0.7611778497695922
28409652238,21,0.8367495508421035,0.7619047619047619,0.09523809523809523,0.14285714285714285,0.8862157918158031
28672267256,21,0.9421178982371375,0.9523809523809523,0.047619047619047616,0.0,0.9861314325105577
28714523786,32,0.8429660499095917,0.84375,0.125,0.03125,0.9486862141638994
29002078202,29,0.7965125585424488,0.7586206896551724,0.1724137931034483,0.06896551724137931,0.9121793446869686
29196113704,46,0.9262381850377374,0.9347826086956522,0.0,0.06521739130434782,0.9321072211732035
29242522476,12,0.8252010842164358,0.75,0.08333333333333333,0.16666666666666666,0.9392667015393575
29619588672,43,0.8927486358686935,0.8604651162790697,0.046511627906976744,0.09302325581395349,0.948273662910905
29638202857,27,0.7787398541415179,0.7777777777777778,0.1111111111111111,0.1111111111111111,0.8748720420731438
29659404127,29,0.9321756239595085,0.9655172413793104,0.034482758620689655,0.0,0.9551187671464065
30153140071,16,0.6390418149530888,0.5,0.1875,0.3125,0.8544517569243908
30323689521,30,0.8579740544160207,0.8333333333333334,0.03333333333333333,0.13333333333333333,0.9023132065931956
