sku_id,total_comments,effective_comments,effective_ratio,avg_sentiment,std_sentiment,n_sentiment,pos_ratio,neg_ratio,avg_rating_norm,topic_top1_ratio,volume_factor,generated_name,brand_guess,model_guess,absa_comment_count,aspect_sentiment_mean,aspect_positive_ratio,aspect_negative_ratio,aspect_neutral_ratio,absa_confidence_mean,recommend_index_v2
26128018111,23,23,1.0,0.9467118861882584,0.145455132258453,23,0.9565217391304348,0.0434782608695652,1.0,0.3333333333333333,0.7231973151785931,手机（手机不错、手机很漂亮、值得购买、信赖京东、相信京东、是正品）,,,23,0.9207362739936166,0.9130434782608696,0.0,0.0869565217391304,0.951197282127712,87.44
25834204287,49,44,0.8979591836734694,0.9828121174465526,0.0569489842378433,44,1.0,0.0,1.0,0.2068965517241379,0.8662433801794817,手机（物流很快、物流也很快、包装完整、手机收到了、手机已收到）,,,49,0.95433522243889,0.9387755102040816,0.0204081632653061,0.0408163265306122,0.9785891041463736,87.05
7081550,91,75,0.8241758241758241,0.9743948491414388,0.063981565902936,75,1.0,0.0,0.9933333333333332,0.45,0.9855008415973224,荣耀10 手机,荣耀,荣耀10,91,0.8578139265159984,0.8681318681318682,0.0329670329670329,0.0989010989010989,0.900706444795315,86.77
5089275,95,79,0.8315789473684211,0.9600016572807408,0.1254256975725096,79,0.9746835443037974,0.0253164556962025,0.9873417721518988,0.5319148936170213,0.9971731337509392,三星 mate10 手机,三星,mate10,95,0.8115998409296337,0.8105263157894737,0.0842105263157894,0.1052631578947368,0.8674423697747682,86.21
29659404127,29,28,0.9655172413793104,0.9523103577750068,0.0918138265645702,28,1.0,0.0,1.0,0.15,0.7662611880276656,小米 手机（支持小米、运行很流畅、性价比很高、手机不错、手机很漂亮、值得购买）,小米,,29,0.9321756239595084,0.9655172413793104,0.0344827586206896,0.0,0.9551187671464064,86.16
8240587,92,78,0.8478260869565217,0.9260783059856832,0.2071453594606613,78,0.935897435897436,0.0641025641025641,0.9935897435897436,0.25,0.9943107085039692,华为 a3 手机,华为,a3,92,0.9191844631796298,0.9239130434782608,0.0326086956521739,0.0434782608695652,0.9472529272670333,85.85
25531193076,32,31,0.96875,0.9299389273979732,0.2028285303489751,31,0.935483870967742,0.064516129032258,1.0,0.1428571428571428,0.7886621919643217,华为 r11 手机,华为,r11,32,0.9203722747042776,0.9375,0.0625,0.0,0.9486807575449347,85.47
29619588672,43,41,0.9534883720930232,0.9231017050219744,0.1857523670937564,41,0.926829268292683,0.073170731707317,0.9939024390243902,0.2333333333333333,0.8505433756832199,小米 手机（手机不错、手机很漂亮、值得购买、支持小米、运行很流畅、性价比很高）,小米,,43,0.8927486358686935,0.8604651162790697,0.0465116279069767,0.0930232558139534,0.948273662910905,85.27
26266694915,22,22,1.0,0.9347952589054,0.2080178708367138,22,0.9545454545454546,0.0454545454545454,1.0,0.2142857142857142,0.7135124575500678,oppo r11 手机,oppo,r11,22,0.880470181053335,0.9090909090909092,0.0909090909090909,0.0,0.9585121192715385,85.27
7321794,93,78,0.8387096774193549,0.9570702658727382,0.1572936852019782,78,0.9743589743589745,0.0256410256410256,0.9967948717948718,0.2972972972972973,0.9943107085039692,华为 p20 手机,华为,p20,93,0.8616454562833232,0.8387096774193549,0.086021505376344,0.075268817204301,0.9063271559694762,85.1
25774787882,40,39,0.975,0.9210403890181812,0.2011901907365176,39,0.9487179487179488,0.0512820512820512,1.0,0.2142857142857142,0.8394406953580748,oppo r15 手机,oppo,r15,40,0.8711323253810406,0.825,0.075,0.1,0.9119598634541036,84.78
7694047,83,72,0.8674698795180723,0.9516698146083704,0.1559790050031107,72,0.9583333333333334,0.0416666666666666,0.9965277777777778,0.175,0.976336120896181,华为 荣耀9i 手机,华为,荣耀9i,83,0.8699766742177757,0.8674698795180723,0.0481927710843373,0.0843373493975903,0.9221815158085652,84.57
26263258528,42,41,0.9761904761904762,0.9218220963801552,0.1818473722225286,41,0.951219512195122,0.048780487804878,0.951219512195122,0.1851851851851851,0.8505433756832199,小米 荣耀7i 手机,小米,荣耀7i,42,0.8687156396252769,0.8809523809523809,0.0714285714285714,0.0476190476190476,0.9310372273127238,84.43
5375693,68,62,0.9117647058823528,0.902662113954824,0.2428847024374464,62,0.9032258064516128,0.0967741935483871,1.0,0.4038461538461538,0.9428109372903556,手机（声音大、声音很大、适合老年人用、物流很快、物流也很快、包装完整）,,,68,0.7773643201764893,0.7647058823529411,0.1617647058823529,0.0735294117647058,0.8695403766982696,84.06
7651927,85,69,0.8117647058823529,0.9378662975100072,0.1711247291841408,69,0.9565217391304348,0.0434782608695652,0.9927536231884058,0.2857142857142857,0.9667867558627016,小米 红米6 手机,小米,红米6,85,0.8601032488486346,0.8705882352941177,0.0235294117647058,0.1058823529411764,0.8818440437316895,84.02
15612619462,54,52,0.9629629629629628,0.8996994608583359,0.2451876753810854,52,0.903846153846154,0.0961538461538461,0.9903846153846154,0.1515151515151515,0.9034788602186172,魅族 note3 手机,魅族,note3,54,0.838127288001555,0.8518518518518519,0.1296296296296296,0.0185185185185185,0.9031195850284012,83.75
20898196348,30,30,1.0,0.9209828775996964,0.2378338019507416,30,0.9333333333333332,0.0666666666666666,0.9583333333333334,0.1111111111111111,0.7814374643142536,荣耀 mate8 手机,荣耀,mate8,30,0.889634108543396,0.8666666666666667,0.0666666666666666,0.0666666666666666,0.9524024844169616,83.73
30323689521,30,26,0.8666666666666667,0.9678491491537828,0.043369556250497,26,1.0,0.0,1.0,0.3333333333333333,0.75,华为 mate9 手机,华为,mate9,30,0.8579740544160207,0.8333333333333334,0.0333333333333333,0.1333333333333333,0.9023132065931956,83.73
11339519481,39,39,1.0,0.870800161208862,0.2820559108223454,39,0.8717948717948718,0.1282051282051282,1.0,0.1379310344827586,0.8394406953580748,华为 手机（支持国货、支持国产、相信华为、手机不错、手机很漂亮、值得购买）,华为,,39,0.8536509153170463,0.8717948717948718,0.1025641025641025,0.0256410256410256,0.9539447044714904,83.71
5663902,93,75,0.8064516129032258,0.9445139799515406,0.1534457758889564,75,0.9733333333333334,0.0266666666666666,0.9933333333333332,0.1956521739130435,0.9855008415973224,华为 荣耀6p 手机,华为,荣耀6p,93,0.8832510620035151,0.8709677419354839,0.075268817204301,0.053763440860215,0.9146338912748522,83.69
